id,start,end,nom,resp,dep,iddep
11598,2013-04-26,,"Taula Sectorial Agrària de l'Horta","Miquel Molins Elizalde","Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",4163
11599,2013-04-26,,"Taula Sectorial Agrària dels Cereals Herbacis","Miquel Molins Elizalde","Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",4163
11600,2013-04-26,,"Taula Sectorial Agrària de l'Arròs","Miquel Molins Elizalde","Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",4163
11601,2013-04-26,,"Taula Sectorial Agrària de l'Aviram i els Ous","Miquel Molins Elizalde","Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",4163
11602,2013-04-26,,"Responsable de Suport a l'Arxiu Central del Departament de la Presidència","Mercè Claramunt i Nebot","Departament de la Presidència",6
11604,2013-04-26,,"Divisió d'Assessoria Jurídica","Pau Herraez i Vilas","Departament de Territori i Sostenibilitat",3392
11622,2013-04-26,,"Divisió de Recursos","Francisco Martín i Domínguez","Departament de Territori i Sostenibilitat",3392
11623,2013-04-26,,"Departament d'Administració","Elisabeth Grau i Masana","Departament de Territori i Sostenibilitat",3392
11624,2013-04-26,,"Departament de Patrimoni i Serveis","Carme Gomar i Calabuig","Departament de Territori i Sostenibilitat",3392
11625,2013-04-26,,"Departament de Documentació i Registre","Anfos López i Vicente","Departament de Territori i Sostenibilitat",3392
11627,2013-04-26,,"Departament d'Organització","Inmaculada Losada i de Torre","Departament de Territori i Sostenibilitat",3392
11629,2013-04-26,,"Departament de Control i Millora dels Ecosistemes Aquàtics","Antoni Munné i Torras","Departament de Territori i Sostenibilitat",3392
11631,2013-04-26,,"Departament de Laboratori","Manel Vilanova de la Cruz","Departament de Territori i Sostenibilitat",3392
11633,2013-04-26,,"Departament de Concessions","Elena Pignatelli i Garrigós","Departament de Territori i Sostenibilitat",3392
11635,2013-04-26,2013-11-08,"Departament de Planificació d'Abastament d'Aigua","Jordi Molist i Gazapo","Departament de Territori i Sostenibilitat",3392
11637,2013-04-26,,"Departament d'Explotació de Sistemes de Sanejament","Elisabet Mas i Asturias","Departament de Territori i Sostenibilitat",3392
11641,2013-04-26,,"Departament de Contractació","Sílvia Esteve i Garcia","Departament de Territori i Sostenibilitat",3392
